,model,image,Prev_DP,New_DP,DPR,RC_cm_dm,RC_cm_og,RC_dm_og,RCR
0,SegFormer,0051IC-S4- (102).jpg,0.28716468811035156,0.016442298889160156,0.057257384246498004,0.9308890700340271,0.9747114181518555,0.935261070728302,1.042181107134966
1,UNet,0051IC-S4- (102).jpg,0.28716468811035156,0.19093799591064453,0.664907642952503,0.981154203414917,0.9734855890274048,0.9434804320335388,1.0318026277759615
2,YOLO+SAM,0051IC-S4- (102).jpg,0.28716468811035156,0.020974159240722656,0.07303878265374576,0.9499623775482178,0.9824705123901367,0.9350154995918274,1.0507531830424472
3,SegFormer,0206AM-SZ-151.jpg,0.28466033935546875,0.0073451995849609375,0.02580338238053121,0.9180094003677368,0.9532594084739685,0.9434343576431274,1.0104141329507925
4,UNet,0206AM-SZ-151.jpg,0.28466033935546875,0.0006475448608398438,0.0022747983168502585,0.943301796913147,0.9749828577041626,0.9299952387809753,1.0483740314435979
5,YOLO+SAM,0206AM-SZ-151.jpg,0.28466033935546875,0.00032806396484375,0.0011524751413792178,0.9572582840919495,0.9811710119247437,0.9501441717147827,1.032654876105765
6,SegFormer,0135PC-S1-005.jpg,0.25995922088623047,0.021518707275390625,0.08277724176134592,0.9585886001586914,0.9095906019210815,0.8558598756790161,1.062779816847281
7,UNet,0135PC-S1-005.jpg,0.25995922088623047,0.2100543975830078,0.8080282625363645,0.9862258434295654,0.9331479668617249,0.9286643862724304,1.0048279880822082
8,YOLO+SAM,0135PC-S1-005.jpg,0.25995922088623047,0.03134918212890625,0.12059269150766544,0.9484139680862427,0.8688094019889832,0.8430637121200562,1.0305382493621795
9,SegFormer,0168JC-S1-014.jpg,0.4502134323120117,0.23334312438964844,0.5182944524585719,0.9788512587547302,0.9573899507522583,0.9441578984260559,1.014014660416717
10,UNet,0168JC-S1-014.jpg,0.4502134323120117,0.025272369384765625,0.056134196740827355,0.970332145690918,0.9785617589950562,0.9820574522018433,0.9964404392034809
11,YOLO+SAM,0168JC-S1-014.jpg,0.4502134323120117,0.11079978942871094,0.24610502814123789,0.9774280786514282,0.9809424877166748,0.9834787249565125,0.9974211569854246
12,SegFormer,0135PC-S1-010.jpg,0.21915149688720703,0.19834423065185547,0.9050553314447098,0.9504328966140747,0.9650789499282837,0.9359774589538574,1.0310920852805077
13,UNet,0135PC-S1-010.jpg,0.21915149688720703,0.005089759826660156,0.023224846277366547,0.9774324297904968,0.9593737125396729,0.9429149031639099,1.0174552436498099
14,YOLO+SAM,0135PC-S1-010.jpg,0.21915149688720703,0.07098960876464844,0.3239293811494493,0.9664023518562317,0.9718941450119019,0.9665299654006958,1.0055499361667304
15,SegFormer,109MC-S41-016.jpg,0.11172962188720703,0.017510414123535156,0.15672132266958014,0.9813881516456604,0.9456180334091187,0.9342853426933289,1.0121297961103835
16,UNet,109MC-S41-016.jpg,0.11172962188720703,0.034523963928222656,0.30899562126036,0.977741003036499,0.938509464263916,0.9123125076293945,1.0287148936526072
17,YOLO+SAM,109MC-S41-016.jpg,0.11172962188720703,0.013695716857910156,0.12257910325460707,0.9896746277809143,0.9376738667488098,0.9376230239868164,1.0000542251637308
18,SegFormer,0198MY-SZ-043.jpg,0.19942283630371094,0.02691364288330078,0.13495767777724643,0.9828485250473022,0.9476639032363892,0.9225174784660339,1.027258480578784
19,UNet,0198MY-SZ-043.jpg,0.19942283630371094,0.030571937561035156,0.15330208980919133,0.982180655002594,0.939735472202301,0.9218789935112,1.019369655688856
20,YOLO+SAM,0198MY-SZ-043.jpg,0.19942283630371094,0.08119869232177734,0.40716847592176364,0.9945323467254639,0.9512530565261841,0.9487770199775696,1.002609713870044
21,SegFormer,0206AM-SZ-091.jpg,0.17720603942871094,0.0019550323486328125,0.011032537914258345,0.9792050719261169,0.9771440029144287,0.977729320526123,0.9994013500470873
22,UNet,0206AM-SZ-091.jpg,0.17720603942871094,0.014313697814941406,0.08077432270980658,0.9784407615661621,0.9775311946868896,0.9708847999572754,1.006845708914082
23,YOLO+SAM,0206AM-SZ-091.jpg,0.17720603942871094,0.0027818679809570312,0.01569849419311785,0.980506181716919,0.9696247577667236,0.9765024781227112,0.9929567814623372
24,SegFormer,0082VC-S3- (53).jpg,0.23942947387695312,0.025529861450195312,0.10662789771369394,0.9909107685089111,0.9398335218429565,0.9269907474517822,1.0138542638386392
25,UNet,0082VC-S3- (53).jpg,0.23942947387695312,0.11026477813720703,0.4605313470883454,0.9696938991546631,0.9496556520462036,0.9283715486526489,1.0229262771187295
26,YOLO+SAM,0082VC-S3- (53).jpg,0.23942947387695312,0.016953468322753906,0.07080777503385645,0.9795408844947815,0.9188737869262695,0.906582236289978,1.0135581198751393
27,SegFormer,0198MY-SZ-089.jpg,0.26691532135009766,0.04607200622558594,0.17260907314179955,0.9814960956573486,0.9411187767982483,0.9435625076293945,0.997410101809486
28,UNet,0198MY-SZ-089.jpg,0.26691532135009766,0.10904407501220703,0.40853434138080114,0.9906808137893677,0.9453110098838806,0.9401466846466064,1.0054931058329641
29,YOLO+SAM,0198MY-SZ-089.jpg,0.26691532135009766,0.044350624084472656,0.16615990367334688,0.9870258569717407,0.9478450417518616,0.9506664872169495,0.9970321395536434
30,SegFormer,0051IC-S4- (104).jpg,0.1990795135498047,0.044696807861328125,0.2245173652694611,0.9899293184280396,0.9485737681388855,0.9415647983551025,1.007443959030783
31,UNet,0051IC-S4- (104).jpg,0.1990795135498047,0.09424400329589844,0.4733988023952096,0.9885636568069458,0.9645389318466187,0.95061856508255,1.0146434829650732
32,YOLO+SAM,0051IC-S4- (104).jpg,0.1990795135498047,0.026230812072753906,0.13176047904191618,0.9876664280891418,0.926723837852478,0.9287794232368469,0.9977867884096688
33,SegFormer,0206AM-SZ-148.jpg,0.16547012329101562,0.02746868133544922,0.1660038730202642,0.973801851272583,0.9735878109931946,0.9425284266471863,1.0329532600480755
34,UNet,0206AM-SZ-148.jpg,0.16547012329101562,0.08458709716796875,0.5111925674896834,0.9834581613540649,0.9888547658920288,0.9764350056648254,1.0127194950561478
35,YOLO+SAM,0206AM-SZ-148.jpg,0.16547012329101562,0.07504749298095703,0.45354104709869286,0.9863402843475342,0.961430013179779,0.9431297779083252,1.0194037296882303
36,SegFormer,0051IC-SZ-010.jpg,0.2044506072998047,0.024087905883789062,0.1178177272345626,0.9753722548484802,0.9274000525474548,0.9319385290145874,0.9951300688555805
37,UNet,0051IC-SZ-010.jpg,0.2044506072998047,0.020732879638671875,0.10140776744316221,0.9697474837303162,0.9183517098426819,0.9186577796936035,0.9996668293050066
38,YOLO+SAM,0051IC-SZ-010.jpg,0.2044506072998047,0.028639793395996094,0.14008172327900664,0.9763875007629395,0.9202511310577393,0.9241267442703247,0.9958061886677183
39,SegFormer,0206AM-SZ-163.jpg,0.09680747985839844,0.0014028549194335938,0.014491183134666536,0.9757433533668518,0.9509774446487427,0.9471302032470703,1.004061998433249
40,UNet,0206AM-SZ-163.jpg,0.09680747985839844,0.00017547607421875,0.0018126292976061473,0.9689413905143738,0.9647136330604553,0.965869665145874,0.9988031179287071
41,YOLO+SAM,0206AM-SZ-163.jpg,0.09680747985839844,0.0023956298828125,0.024746330410796966,0.9593029022216797,0.9698460102081299,0.9442248344421387,1.027134613316042
42,SegFormer,0151FR-S1-016.jpg,0.16697216033935547,0.013927459716796875,0.08341186751426466,0.9671388864517212,0.9228475093841553,0.8845667839050293,1.0432762411789092
43,UNet,0151FR-S1-016.jpg,0.16697216033935547,0.05576133728027344,0.33395589520398894,0.9645814895629883,0.9092133045196533,0.878355085849762,1.0351318267145202
44,YOLO+SAM,0151FR-S1-016.jpg,0.16697216033935547,0.03353404998779297,0.20083617484278884,0.9655838012695312,0.927038848400116,0.8819637894630432,1.0511076072233252
45,SegFormer,0151FR-S2-120.jpg,0.14993667602539062,0.03057098388671875,0.2038926345248696,0.9675554633140564,0.9588899612426758,0.9367302656173706,1.0236564317804981
46,UNet,0151FR-S2-120.jpg,0.14993667602539062,0.08840751647949219,0.5896323622948735,0.9663461446762085,0.9680589437484741,0.9213881492614746,1.050652696721146
47,YOLO+SAM,0151FR-S2-120.jpg,0.14993667602539062,0.07773876190185547,0.5184772929652716,0.9705128073692322,0.9561718106269836,0.9395140409469604,1.0177301976915996
48,SegFormer,0206AM-SZ-139.jpg,0.3150453567504883,0.22545337677001953,0.7156219634386664,0.9851312637329102,0.9435663819313049,0.9398130774497986,1.0039936712645998
49,UNet,0206AM-SZ-139.jpg,0.3150453567504883,0.16646194458007812,0.5283745372318366,0.9757648706436157,0.9770550727844238,0.9340601563453674,1.0460301364392628
50,YOLO+SAM,0206AM-SZ-139.jpg,0.3150453567504883,0.06601524353027344,0.20954202979273434,0.980602502822876,0.965426504611969,0.9426652193069458,1.024145672120753
51,SegFormer,109MC-S41-002.jpg,0.1325521469116211,0.003907203674316406,0.029476728709053105,0.9442175626754761,0.967329204082489,0.915324330329895,1.0568157887093974
52,UNet,109MC-S41-002.jpg,0.1325521469116211,0.04887962341308594,0.36875768934679226,0.9238240122795105,0.9734256267547607,0.8716086149215698,1.1168150590645007
53,YOLO+SAM,109MC-S41-002.jpg,0.1325521469116211,0.004398345947265625,0.033182004590225266,0.9636723399162292,0.975654125213623,0.9373824000358582,1.0408282950227152
54,SegFormer,0124NG-S1-003.jpg,0.22054195404052734,0.012158393859863281,0.05512961881905256,0.9804143905639648,0.9538922309875488,0.9225330352783203,1.0339924907944003
55,UNet,0124NG-S1-003.jpg,0.22054195404052734,0.19694805145263672,0.8930185293290955,0.9775081276893616,0.9740644693374634,0.9504808783531189,1.0248122729467293
56,YOLO+SAM,0124NG-S1-003.jpg,0.22054195404052734,0.00046062469482421875,0.0020886034896542777,0.9517593383789062,0.944433331489563,0.9202351570129395,1.0262956422521068
